sentiment,message,Tweet
-1,@tiniebeany climate change is an interesting hustle as it was global warming but the planet stopped warming for 15 yes while the suv boom,@tiniebeany climate change is an interesting hustle as it was global warming but the planet stopped warming for 15 yes while the suv boom
1,Fabulous! Leonardo #DiCaprio's film on #climate change is brilliant!!! Do watch. https://t.co/7rV6BrmxjW via @youtube,Fabulous! Leonardo #DiCaprio's film on #climate change is brilliant!!! Do watch.  via @youtube
0,Unamshow awache kujinga na iko global warming https://t.co/mhIflU7M1X,Unamshow awache kujinga na iko global warming 
1,"#BeforeTheFlood Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change... https://t.co/HCIZrPUhLF","#BeforeTheFlood Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change... "
1,"Bangladesh did not cause climate change, so the country does not need Ã¢â‚¬Å“aidÃ¢â‚¬ï†; instead it needs compensation for theÃ¢â‚¬Â¦ https://t.co/ecGXgRNROP","Bangladesh did not cause climate change, so the country does not need Ã¢â‚¬Å“aidÃ¢â‚¬ï†; instead it needs compensation for theÃ¢â‚¬Â¦ "
1,Now's the time: we need a strong #FTT that works for those hardest hit by climate change and poverty!,Now's the time: we need a strong #FTT that works for those hardest hit by climate change and poverty!
-1,"@marie_dunkley arseholes couldn't predict tomorrows weather in a 4 month heat wave, yet we trust them on climate change! narrr","@marie_dunkley arseholes couldn't predict tomorrows weather in a 4 month heat wave, yet we trust them on climate change! narrr"
1,"We must combat climate change. Indigenous ppl are protesting for our earth, our water. Yet this happens: https://t.co/EUDmjbgbkx","We must combat climate change. Indigenous ppl are protesting for our earth, our water. Yet this happens: "
0,National GeographicÃ¢â‚¬â„¢s climate change documentary with Leonardo DiCaprio is now on YouTube https://t.co/1Y3koz4KDY via @thenextweb,National GeographicÃ¢â‚¬â„¢s climate change documentary with Leonardo DiCaprio is now on YouTube  via @thenextweb
1,"Everyone should take the time to watch @NatGeo climate change docufilm with Leonardo DiCaprio, time to be about it and stop talking about it","Everyone should take the time to watch @NatGeo climate change docufilm with Leonardo DiCaprio, time to be about it and stop talking about it"
1,"BoingBoing: Watch Before the Flood, an urgent call to arms about climate change https://t.co/H5GtCYkPVu https://t.co/qC451rs0d1","BoingBoing: Watch Before the Flood, an urgent call to arms about climate change  "
0,@ShellenbergerMD @DrSimEvans @bradplumer @JigarShahDC should we care about the economics when fighting climate change?,@ShellenbergerMD @DrSimEvans @bradplumer @JigarShahDC should we care about the economics when fighting climate change?
1,"@Nadeshot its like that in alot places now, it's called climate change","@Nadeshot its like that in alot places now, it's called climate change"
2,"Pentagon video about the future of cities predicts inequality, climate change, scarcity, crumbling infrastructure: https://t.co/A6DsoGKbXD","Pentagon video about the future of cities predicts inequality, climate change, scarcity, crumbling infrastructure: "
0,"if not for climate change information, watch Before the Flood because Leonardo DiCaprio","if not for climate change information, watch Before the Flood because Leonardo DiCaprio"
1,A web of truths: This is how climate change affects more than just the weather. https://t.co/RAsbCx5Rmd #ad https://t.co/lhk0m4UeMW,A web of truths: This is how climate change affects more than just the weather.  #ad 
2,L'Oreal named as global leader in climate change strategy #healthcare #comms #news https://t.co/nkHmNoWgNo https://t.co/0WgHPAYxEa,L'Oreal named as global leader in climate change strategy #healthcare #comms #news  
1,"@LeoDiCaprio @NatGeoChannel I watched it just now. Everybody, esp., world leaders must stand together and act on climate change.","@LeoDiCaprio @NatGeoChannel I watched it just now. Everybody, esp., world leaders must stand together and act on climate change."
1,"@simeonst91 IÃ¢â‚¬â„¢m creating a new think tank for climate change, would you join and post your tweet also at https://t.co/u1UbQXLmrF ?","@simeonst91 IÃ¢â‚¬â„¢m creating a new think tank for climate change, would you join and post your tweet also at  ?"
1,Nicely said: 'Financiers are not philanthropists. But (...) allies in the fight against climate change' [in French] https://t.co/5yPUhCdEWW,Nicely said: 'Financiers are not philanthropists. But (...) allies in the fight against climate change' [in French] 
1,A remarkable man and his work on climate change is so impressive more people need to see it... https://t.co/JtpuX9QYFv,A remarkable man and his work on climate change is so impressive more people need to see it... 
1,@MikeBloomberg @LeoDiCaprio why aren't you vegan? meat industry contributes GREATLY to climate change and deforestation!,@MikeBloomberg @LeoDiCaprio why aren't you vegan? meat industry contributes GREATLY to climate change and deforestation!
1,Ã‚Â«The Mediterranean will become a desert unless global warming is limited to 1.5CÃ‚Â»,Ã‚Â«The Mediterranean will become a desert unless global warming is limited to 1.5CÃ‚Â»
1,It's #2016 and I can't believe people still don't believe in climate change its effing science.,It's #2016 and I can't believe people still don't believe in climate change its effing science.
1,Respecting First Nations sovereignty. Fighting petrocapitalism. Standing up against climate change. Get after it. #NoDAPL,Respecting First Nations sovereignty. Fighting petrocapitalism. Standing up against climate change. Get after it. #NoDAPL
1,A huge climate change victory just happened in Rwanda Ã¢â‚¬â€ and few peopleÃ‚ noticed https://t.co/bUNb0tPnfP https://t.co/u7JwYEWChC,A huge climate change victory just happened in Rwanda Ã¢â‚¬â€ and few peopleÃ‚ noticed  
0,"@annaa_page I asked my dad to watch this documentary that just came out on climate change, and legit turned it into a trump vs hillary thing","@annaa_page I asked my dad to watch this documentary that just came out on climate change, and legit turned it into a trump vs hillary thing"
0,"@chefBOYERdee1 Al Gore, creator of the internet and global warming.","@chefBOYERdee1 Al Gore, creator of the internet and global warming."
0,Watch on #Periscope: global warming Winston Neace https://t.co/TaPQ4b7EYJ,Watch on #Periscope: global warming Winston Neace 
1,@bmastenbrook yes wrote that in 3rd yr Comp Sci ethics part. Was told by climate change denying Lecturer that I was wrong &amp; marked down.,@bmastenbrook yes wrote that in 3rd yr Comp Sci ethics part. Was told by climate change denying Lecturer that I was wrong &amp; marked down.
