Topic,Count,Name
-1,2624,-1_silver_medal_proud_mirabaichanu
0,428,0_banda_zambia_barbra_barbra banda
1,356,1_india_proud_indians_moment
2,296,2_sutirtha_mukherjee_sutirtha mukherjee_tabletennis
3,287,3_mirabaichanu hearty_lifting womens_mirabaichanu lifting_hearty congratulations
4,248,4_race_road_road race_carapaz
5,210,5_japan_volleyball_venezuela_flag
6,195,6_kerr_sam_sam kerr_matildas
7,183,7_vikas_boxing_krishan_vikas krishan
8,163,8_gymnastics_mens gymnastics_max_whitlock
9,148,9_tennis_murray_singles_nagal
10,121,10_bbc_coverage_live_bbcsport
11,120,11_ina_facebook_action_officialvkyadav
12,115,12_puneethrajkumar cheer4india_dvitva james_dvitva_james puneethrajkumar
13,113,13_hockey_south africa_gbhockey_africa
14,100,14_judo_takato_gold_japans
15,97,15_chanu_mirabai chanu_chanu wins_mirabai
16,92,16_swimming_swimming swimming_aquatics_finals
17,89,17_medal weightlifting_mirabaichanu winning_ace indian_congratulations ace
18,87,18_q2_canwnt_corner_follow live
19,85,19_winning medal_indias medal_medal india_medal
20,84,20_basketball_3x3_3x3 basketball_usa
21,80,21_butterfly_100m_heat_100m butterfly
22,78,22_weightlifter_weightlifter mirabai_chanu_mirabai chanu
23,78,23_kosovo_distria_krasniqi_distria krasniqi
24,77,24_swevaus_damn_furniture_swevaus fuck
25,75,25_yulo_carlos_carlos yulo_rings
26,71,26_ceremony_opening ceremony_opening_drones
27,69,27_medal ongoing_ongoing_winning indias_indias medal
28,64,28_teamgb_gb_come_team gb
29,62,29_sweden_swedes_swevaus_swedish
30,61,30_sweden_australia_rolfo_fridolina
31,60,31_japan_britain_great britain_japan great
32,59,32_rule_remedy_remedy rule_butterfly
33,55,33_silver medal_winning silver_silver_mirabaichanu winning
34,52,34_mirabaichanu proud_proud_proud mirabaichanu_mirabaichanu
35,51,35_chile_canada_beckie_janine
36,51,36_mediasai_virenrasquinha imrahultrehan_iosindiaoff virenrasquinha_iosindiaoff
37,49,37_clareburt_lewis_lewis clareburt_kalisz
38,49,38_dressage_equestrian_horse_equestrian dressage
39,47,39_mirabaichanu wins_49kg category_category_india snatches
40,47,40_imrahultrehan congratulations_mirabaichanu mediasai_railminindia_iosindiaoff
41,47,41_silver medal_tally_silver_medals tally
42,47,42_penalty_penalty china_ref_referee
43,45,43_country proud_medal country_country_winning silver
44,45,44_teammalaysia_teamindia_teamina_congrats teammalaysia
45,44,45_daddies_badminton_daddies badminton_ina
46,44,46_chirag_rankireddy_shetty_chirag shetty
47,44,47_countrys medal_bringing glory_glory medal_countrys
48,43,48_medals_1001_medals won_1001 1001
49,43,49_badminton_badmintonmalaysia_ina_wooi yik
50,42,50_achieving medal_mirabaichanu achieving_achieving_medal india
51,41,51_badminton_malaysia_double_sokongmalaysia
52,41,52_sleep_saturday_hours_watch
53,41,53_cheer4india_teamindia_da boys_teamindia best
54,40,54_sweaus_sweaus football_swe_aus
55,40,55_pistol_10m_air pistol_air
56,39,56_medal weightlifting_winning silver_weightlifting_silver medal
57,38,57_silver india_silver_india_mirabaichanu silver
58,37,58_flying start_flying_start huge_huge congratulations
59,36,59_archery_mixed team_korea_mixed
60,35,60_covid19_covid_paralympics_test
