Tweet,Topic
"Let the party begin
#Tokyo2020",6
Congratulations #Tokyo2020 https://t.co/8OFKMs9ukq,6
"Big Breaking Now 

Tokyo Olympic Update 

Japan won his first Gold 🥇 Takato Naohisa won Gold in men's 60 kg Judo, C… https://t.co/tRcfDd7clY",27
"Q4: 🇬🇧3-1🇿🇦

Great Britain finally find a way way Pieterse, with Jack Waller finding the net via the stick of a Sou… https://t.co/kdeNYg9THk",16
All I can think of every time I watch the rings event #Tokyo2020 #ArtisticGymnastics #7Olympics #OlympicGames… https://t.co/cJaxEFnyzD,-1
"#Tokyo2020 #Olympics
#MirabaiChanu
#Weightlifting

Women Empowerment
REAL                         Vs… https://t.co/XLsJb2RH76",0
"Can't help but cheer for them. Banda 6 goals in 2 games. 
Zambia goal difference 7-14 😄
Well done on getting that p… https://t.co/2G8UDgMClT",2
"@inquirerdotnet @ftjochoaINQ Caloy Yulo's 14.000, however, was only good for sixth in the rings preliminaries.… https://t.co/bXPm1E0RbF",19
"Q3 🇨🇦 1-4 🇩🇪

Green card for Canada's captain Scott Tupper.

Follow the Live scorecard on https://t.co/S2Zt1TJYJG

#Tokyo2020 #CANvGER",16
"Hearty Congratulations to 
Indian Railways 🏋️‍♀️ player 
Saikhom Mirabai Chanu, for winning the first medal for Ind… https://t.co/9YW3XPLQX1",-1
GREAT FIRST ROUND ON THE RINGS!! #LabaPilipinas #TeamPhilippines #Tokyo2020 #Olympics @c_edrielzxs #TokyoOlympics,63
Gymnastics ❤️ #Tokyo2020,8
Morning everyone! Caffeine check! @LoriLindsey6 @LRoman32 #Tokyo2020 #TokyoOlympics https://t.co/gHtXfkQDdX,25
"5years of hardwork comes to an end for @officialvkyadav
#VikasKrishan got defeated by
SQM Okazawa 🇯🇵 at First round… https://t.co/aSAHeyluDe",4
"#Tokyo2020 #Tennis 

A win to remember for @nagalsumit, the last Indian to qualify for the Tokyo #Olympics.… https://t.co/Awsm8muQyB",17
"Proud of uhh Mirabai chanu 
#silvermedal
#MirabaiChanu
#Weightlifting 
#Tokyo2020 
#TokyoOlympics 
#TeamIndia… https://t.co/wUROpvsHZe",0
Up next for Carlos Yulo is vault. #ArtisticGymnastics #Tokyo2020 @mbsportsonline,19
"Congrates @mirabai_chanu you make our country proud🇮🇳as always🥈❣️
@amitchhaniwala @PMOIndia @narendramodi @AmitShah… https://t.co/rNxAshDCpz",0
"Koreans are full of shit, period. 

Rising Sun Flag

https://t.co/zFHVDtvImr

#Olympics #Tokyo2020 #OlympicGames… https://t.co/1h1yjR0gUf",1
"The wait for a weightlifting medal is over! 👏🥈

Mirabai Chanu opened India's medal account at #Tokyo2020, here's ho… https://t.co/fYTyoE7JOw",0
"#Tokyo2020   #MirabaiChanu  #Weightlifting  wait of 21 years ends for India, well done @mirabai_chanu  do I need to… https://t.co/wcsRFTye2K",0
#Tokyo2020 #Olympics A very proud moment for all of use ….Jai Hind🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳,0
"Well done to #TeamGB in the #Hockey Good game. 
#Tokyo2020",-1
"#SaturdayMotivation in #Fenny

Angel Rising Super Star ltd Availability so booking recommended #Today 

01908696569… https://t.co/ANtpb31nPH",-1
Many congratulations to #MirabaiChanu for winning India’s first medal in the ongoing #Tokyo2020 #Olympics. https://t.co/oEEh6AuiPn,0
"1’ Netherlands vs Brazil 

Keep a close eye on this one🔥

Women’s Summer Olympics #Tokyo2020",1
@Reuters .@Reuters Not for Beijing and the Chinese in #Tokyo2020 ❗️❗️❗️ I'm a blogger. Tokyo: https://t.co/yjsHEBJ9B9,1
"We’re not here to take part, we’re here to take over #OlympicGames #Tokyo2020 #TeamIndia",0
"Completely agree with @Gatty54.

I feel like it was a game that could have been. The pen shout and Sam’s one go in… https://t.co/2c8kA8wo12",44
Up next for Yulo is the vault event. #Tokyo2020 #Olympics #PHI,19
"#TeamIndia  | #Tokyo2020 | #Boxing
Men's Welter weight 63-69kg Round of 32 Results

A brave @officialvkyadav bows o… https://t.co/ez0JesBLD3",4
@FreeWestPapua #TokyoOlympics #Tokyo2020 #OlympicGames #Olympics2021 #HumanRights @UNHumanRights where are you,-1
