sequence,labels_scores,technology,politics,finance,wildlife,label,score
@tiniebeany climate change is an interesting hustle as it was global warming but the planet stopped warming for 15 yes while the suv boom,"{'technology': 0.39539632201194763, 'politics': 0.33374857902526855, 'finance': 0.16320402920246124, 'wildlife': 0.10765106976032257}",0.39539632201194763,0.33374857902526855,0.16320402920246124,0.10765106976032257,technology,0.39539632201194763
Fabulous! Leonardo #DiCaprio's film on #climate change is brilliant!!! Do watch.  via @youtube,"{'technology': 0.34529584646224976, 'wildlife': 0.3194800615310669, 'politics': 0.20368517935276031, 'finance': 0.13153894245624542}",0.34529584646224976,0.20368517935276031,0.13153894245624542,0.3194800615310669,technology,0.34529584646224976
Unamshow awache kujinga na iko global warming ,"{'wildlife': 0.4004265069961548, 'technology': 0.24578022956848145, 'politics': 0.18173480033874512, 'finance': 0.17205843329429626}",0.24578022956848145,0.18173480033874512,0.17205843329429626,0.4004265069961548,wildlife,0.4004265069961548
"#BeforeTheFlood Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change... ","{'wildlife': 0.3192991614341736, 'politics': 0.28447604179382324, 'technology': 0.28047633171081543, 'finance': 0.11574842035770416}",0.28047633171081543,0.28447604179382324,0.11574842035770416,0.3192991614341736,wildlife,0.3192991614341736
"Bangladesh did not cause climate change, so the country does not need Ã¢â‚¬Å“aidÃ¢â‚¬ï†; instead it needs compensation for theÃ¢â‚¬Â¦ ","{'politics': 0.4095400273799896, 'finance': 0.2569790780544281, 'technology': 0.17296268045902252, 'wildlife': 0.16051828861236572}",0.17296268045902252,0.4095400273799896,0.2569790780544281,0.16051828861236572,politics,0.4095400273799896
Now's the time: we need a strong #FTT that works for those hardest hit by climate change and poverty!,"{'finance': 0.42435941100120544, 'politics': 0.40574342012405396, 'technology': 0.1226499155163765, 'wildlife': 0.04724724963307381}",0.1226499155163765,0.40574342012405396,0.42435941100120544,0.04724724963307381,finance,0.42435941100120544
"@marie_dunkley arseholes couldn't predict tomorrows weather in a 4 month heat wave, yet we trust them on climate change! narrr","{'technology': 0.862585723400116, 'politics': 0.1091097891330719, 'wildlife': 0.014993453398346901, 'finance': 0.013311059214174747}",0.862585723400116,0.1091097891330719,0.013311059214174747,0.014993453398346901,technology,0.862585723400116
"We must combat climate change. Indigenous ppl are protesting for our earth, our water. Yet this happens: ","{'politics': 0.4673146903514862, 'wildlife': 0.3274419605731964, 'technology': 0.11891675740480423, 'finance': 0.08632664382457733}",0.11891675740480423,0.4673146903514862,0.08632664382457733,0.3274419605731964,politics,0.4673146903514862
National GeographicÃ¢â‚¬â„¢s climate change documentary with Leonardo DiCaprio is now on YouTube  via @thenextweb,"{'wildlife': 0.39964908361434937, 'technology': 0.3288957178592682, 'politics': 0.16395699977874756, 'finance': 0.10749824345111847}",0.3288957178592682,0.16395699977874756,0.10749824345111847,0.39964908361434937,wildlife,0.39964908361434937
"Everyone should take the time to watch @NatGeo climate change docufilm with Leonardo DiCaprio, time to be about it and stop talking about it","{'wildlife': 0.500977635383606, 'politics': 0.250886470079422, 'technology': 0.19213435053825378, 'finance': 0.05600154027342796}",0.19213435053825378,0.250886470079422,0.05600154027342796,0.500977635383606,wildlife,0.500977635383606
"BoingBoing: Watch Before the Flood, an urgent call to arms about climate change  ","{'wildlife': 0.39876872301101685, 'technology': 0.2797188460826874, 'politics': 0.17286820709705353, 'finance': 0.14864428341388702}",0.2797188460826874,0.17286820709705353,0.14864428341388702,0.39876872301101685,wildlife,0.39876872301101685
@ShellenbergerMD @DrSimEvans @bradplumer @JigarShahDC should we care about the economics when fighting climate change?,"{'finance': 0.7409742474555969, 'politics': 0.11509241163730621, 'technology': 0.08539953827857971, 'wildlife': 0.058533817529678345}",0.08539953827857971,0.11509241163730621,0.7409742474555969,0.058533817529678345,finance,0.7409742474555969
